File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
195 : Average=1459.0736Best=1244.8093
196 : Average=1458.577Best=1244.8093
197 : Average=1462.6539Best=1244.8093
198 : Average=1467.5488Best=1244.8093
199 : Average=1473.9966Best=1244.8093
200 : Average=1480.0315Best=1244.8093
201 : Average=1473.5782Best=1244.8093
202 : Average=1469.4724Best=1244.8093
203 : Average=1465.3182Best=1244.8093
204 : Average=1462.1288Best=1244.8093
205 : Average=1459.3871Best=1244.8093
206 : Average=1465.3789Best=1244.8093
207 : Average=1470.9463Best=1244.8093
208 : Average=1475.4485Best=1244.8093
209 : Average=1470.0006Best=1244.8093
210 : Average=1472.7877Best=1244.8093
211 : Average=1470.925Best=1244.8093
212 : Average=1464.0283Best=1244.8093
213 : Average=1471.6406Best=1244.8093
214 : Average=1464.174Best=1244.8093
215 : Average=1471.8466Best=1244.8093
216 : Average=1467.7373Best=1244.8093
217 : Average=1463.2799Best=1244.8093
218 : Average=1469.4608Best=1244.8093
219 : Average=1474.8113Best=1244.8093
220 : Average=1472.8789Best=1244.8093
221 : Average=1461.8898Best=1244.8093
222 : Average=1468.3411Best=1244.8093
223 : Average=1469.6166Best=1244.8093
224 : Average=1472.7301Best=1244.8093
225 : Average=1470.1746Best=1244.8093
226 : Average=1471.8921Best=1244.8093
227 : Average=1471.2719Best=1244.8093
228 : Average=1464.2263Best=1244.8093
229 : Average=1470.6622Best=1244.8093
230 : Average=1471.2705Best=1244.8093
231 : Average=1471.2777Best=1244.8093
232 : Average=1465.7852Best=1244.8093
233 : Average=1462.1583Best=1244.8093
234 : Average=1467.17Best=1244.8093
235 : Average=1470.9923Best=1244.8093
236 : Average=1474.8927Best=1244.8093
237 : Average=1473.3086Best=1244.8093
238 : Average=1473.1627Best=1244.8093
239 : Average=1466.5931Best=1244.8093
240 : Average=1462.4905Best=1244.8093
241 : Average=1459.3086Best=1244.8093
242 : Average=1469.9668Best=1244.8093
243 : Average=1467.6831Best=1244.8093
244 : Average=1465.0242Best=1244.8093
245 : Average=1472.1482Best=1244.8093
246 : Average=1464.4841Best=1244.8093
247 : Average=1466.4602Best=1244.8093
248 : Average=1470.4628Best=1244.8093
249 : Average=1466.1288Best=1244.8093
250 : Average=1474.6482Best=1244.8093
251 : Average=1473.4988Best=1244.8093
252 : Average=1472.7778Best=1244.8093
253 : Average=1470.6094Best=1244.8093
254 : Average=1465.7921Best=1244.8093
255 : Average=1469.1353Best=1244.8093
256 : Average=1469.9803Best=1244.8093
257 : Average=1464.6915Best=1244.8093
258 : Average=1464.6562Best=1244.8093
259 : Average=1467.3492Best=1244.8093
260 : Average=1466.2385Best=1244.8093
261 : Average=1464.2606Best=1244.8093
262 : Average=1452.3186Best=1244.8093
263 : Average=1472.2612Best=1244.8093
264 : Average=1471.3987Best=1244.8093
265 : Average=1469.1602Best=1244.8093
